Poly Bridge 2 - 3-10C "Shafted" any% leaderboard (* = breaks)
Updated 2024-12-13T00:46:21.476Z
1000/5796 unique ranks shown

  740. $20,405 wombat
  741. $20,406 Drumstick
  742. $20,410 Oreocraft2
  743. $20,410 C-mers
  744. $20,415 Glu
  745. $20,417 floris
  746. $20,419 y3ncs0212
  747. $20,426 Crab-boi101
  748. $20,429 FlyDoz
  749. $20,443 gijshomminga7
  750. $20,443 dannyweeks98
  751. $20,448 maxkoziol820
  752. $20,452 Kimbul
  753. $20,454 NAFTA
  754. $20,474 Sebarooo
  755. $20,474 eliaskaupper09
  756. $20,480 Luky
  757. $20,481 EGS // Infinituple Grill
  758. $20,487 Arigami
  759. $20,490 Santafu
  760. $20,494 No T
  761. $20,505 Curuda
  762. $20,510 jeremywinick
  763. $20,515 Black Man
  764. $20,517 arcadiave
  765. $20,528 Rico The Saboteur
  766. $20,528 Baasmommel
  767. $20,534 Brohole
  768. $20,539 pett3r
  769. $20,541 Tomthetechie
  770. $20,543 nils
  771. $20,555 Deltatime
 *772. $20,557 m_berty
  773. $20,563 Ben Dover
  774. $20,572 RaRd Nut
  775. $20,578 SaltyPete
  776. $20,579 NeoDog
  777. $20,582 qvq
  778. $20,583 ChaosShade99
  779. $20,583 kristoffer
  780. $20,586 Thomas
  781. $20,586 Maarto
  782. $20,589 Bandwidth Bandit
  783. $20,591 tttly628
  784. $20,593 Louis
  785. $20,597 Mulalu
  786. $20,597 metalpimple
  787. $20,597 DoctorFirestorm
  788. $20,598 Mico el Microfono
 *789. $20,607 Memory Chad
  790. $20,613 Bellei
  791. $20,615 Ace_Falken
  792. $20,617 Pence
  793. $20,620 cwarren1
  794. $20,620 TheLesbianWitch
  795. $20,622 MoonFloods
  796. $20,627 Pow3rBoi
  797. $20,628 DarkyPlayz
  798. $20,629 Kosher Karambwan
  799. $20,635 おいちゃん
  800. $20,639 sdfrancis.boyscout
  801. $20,642 Oragif
  802. $20,643 lorddraegon
 *803. $20,650 caetanorocha1113
  804. $20,651 pome.😈
  805. $20,651 Handy Shamandy
  806. $20,652 TJarsun
  807. $20,653 aigo428
  808. $20,657 Davidofmv
